Jahr,Tage mit Tmax > 22°C,davon Tage mit Tmax > 25°C
1989,25.0,0.0
1990,14.0,1.0
1991,26.0,2.3
1992,39.3,1.0
1993,4.7,0.0
1994,31.0,14.3
1995,45.0,5.3
1996,13.0,0.0
1997,45.3,8.0
1998,5.0,0.0
1999,45.0,1.0
2000,14.7,0.7
2001,40.0,3.7
2002,38.7,0.0
2003,44.7,18.0
2004,25.3,3.7
2005,31.3,0.0
2006,17.7,19.7
2007,22.0,2.0
2008,20.7,1.0
2009,21.3,0.0
2010,18.0,12.0
2011,4.3,0.0
2012,20.3,0.0
2013,31.0,2.0
2014,36.0,2.3
2015,19.7,0.3
2016,32.3,0.3
2017,7.3,0.0
2018,45.7,13.7
2019,46.3,6.3
2020,31.0,6.7
2021,47.3,1.3